SqlViewTotalParsingErrors,0
SqlViewTotalWarnings,0
StartConversion,2025/07/15 11.20.19 +07:00
SystemCPU,Data not provided
SystemRAM,Data not provided
TableCharacterConversionRate,0
TableFullyConvertedOccurrences,0
TableLoCConversionRate,0
TableObjectConversionRate,0
TableTotalCharacters,0
TableTotalConversionErrors,0
TableTotalLinesOfCode,0
TableTotalOccurrences,0
TableTotalParsingErrors,0
TableTotalWarnings,0
TotalCharacterConversionRate,0
TotalCodeUnits,0
TotalConversionErrors,0
TotalConvertedLines,0
TotalErrors,0
TotalFiles,0
TotalFilesNotGenerated,0
TotalIdentifiedObjects,0
TotalInvalidFiles,0
TotalLinesOfCode,4
TotalLoCConversionRate,0
TotalMissingObjectReferences,0
TotalNonParsingTransformationExceptions,0
TotalOtherEWIs,0
TotalParsingErrors,0
TotalParsingEWIs,0
TotalSize,0KB
TotalValidatedFiles,0
TotalWarnings,0
TransformationTime,0
TriggerLinesOfCode,0
Triggers,0
UniqueFDMs,0
UniqueMissingObjectReferences,0
UniqueOtherCriticalIssues,0
UniqueParsingIssues,0
UniquePRFs,0
UnrecognizedElements,0
UnrecognizedElementsLOC,0
UnScopeCFunctionsLoC,0
UnScopeCFunctionsObjects,0
UnScopeCProceduresLoC,0
UnScopeCProceduresObjects,0
UnScopeJavaFunctionsLoC,0
UnScopeJavaFunctionsObjects,0
UnScopeJavaProceduresLoC,0
UnScopeJavaProceduresObjects,0
ViewCharacterConversionRate,0
ViewFullyConvertedOccurrences,0
ViewLoCConversionRate,0
ViewObjectConversionRate,0
ViewTotalCharacters,0
ViewTotalConversionErrors,0
ViewTotalLinesOfCode,0
ViewTotalOccurrences,0
ViewTotalParsingErrors,0
ViewTotalWarnings,0
WorkloadName,Data not provided
