Caller,CallerType,Invoked,InvokedType,FileId,CellId,Line,Column,ExecutionId
notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,Module,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy.process_data,Function,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,0,1,14,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,Module,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy.process_ue_semesterly,Function,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,0,1,17,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,Module,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy.process_data,Function,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,0,6,18,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy.prep_lbs,Function,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy.latlon_h3,Variable,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,0,10,35,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy,Module,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy.process_ue_semesterly,Function,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,0,14,21,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy.join_lbs_lau,Function,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy.h3_parent,Variable,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,0,15,34,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy.process_ue_monthly,Function,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy.haversine_distance,Function,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,0,49,50,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy.process_data,Function,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy.prep_lbs,Function,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,0,107,11,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy.process_data,Function,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy.join_lbs_lau,Function,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,0,108,11,a1cbc006-17c0-4db1-a282-bccf0e51f12f
notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy.process_data,Function,notebook.Sample_1. Pipeline Periodically - Usual Environment with Entropy.process_ue_monthly,Function,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,0,109,18,a1cbc006-17c0-4db1-a282-bccf0e51f12f
