ExecutionId,FileId,Dependency,Type,Success,StatusDetail,Arguments,Location
b1fb77a9-958a-495d-82c1-be5dfafc0af9,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,append,IOSources,False,DoesNotExists,"{""mode"":""output"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""16"",""Line"":""11""},{""CellId"":""27"",""Line"":""16""}]"
b1fb77a9-958a-495d-82c1-be5dfafc0af9,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,event_month,IOSources,False,DoesNotExists,"{""mode"":""output"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""27"",""Line"":""16""}]"
b1fb77a9-958a-495d-82c1-be5dfafc0af9,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,month,IOSources,False,DoesNotExists,"{""mode"":""output"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""16"",""Line"":""11""}]"
b1fb77a9-958a-495d-82c1-be5dfafc0af9,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pe_bps.indonesia_h3_38prov,IOSources,False,DoesNotExists,"{""mode"":""input"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""11"",""Line"":""4""}]"
b1fb77a9-958a-495d-82c1-be5dfafc0af9,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pe_bps.wisnus_sample5_lbs_2024,IOSources,False,DoesNotExists,"{""mode"":""input"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""11"",""Line"":""6""}]"
b1fb77a9-958a-495d-82c1-be5dfafc0af9,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pnt_bps_int.data_cerdas_ue_monthly_sample,IOSources,False,DoesNotExists,"{""mode"":""input"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""16"",""Line"":""11""},{""CellId"":""18"",""Line"":""1""},{""CellId"":""21"",""Line"":""1""},{""CellId"":""30"",""Line"":""1""}]"
b1fb77a9-958a-495d-82c1-be5dfafc0af9,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pnt_bps_int.data_cerdas_ue_sample,IOSources,False,DoesNotExists,"{""mode"":""output"",""format"":""Undefined"",""supported"":""False""}","[{""CellId"":""27"",""Line"":""16""},{""CellId"":""35"",""Line"":""1""}]"
b1fb77a9-958a-495d-82c1-be5dfafc0af9,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,geopandas,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""5"",""Line"":""6""}]"
b1fb77a9-958a-495d-82c1-be5dfafc0af9,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,geopy,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""5"",""Line"":""7""}]"
b1fb77a9-958a-495d-82c1-be5dfafc0af9,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,numpy,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""2"",""Line"":""1""},{""CellId"":""5"",""Line"":""9""}]"
b1fb77a9-958a-495d-82c1-be5dfafc0af9,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pandas,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""2"",""Line"":""2""},{""CellId"":""4"",""Line"":""4""},{""CellId"":""5"",""Line"":""10""}]"
b1fb77a9-958a-495d-82c1-be5dfafc0af9,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pyproj,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""2"",""Line"":""3""}]"
b1fb77a9-958a-495d-82c1-be5dfafc0af9,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pyspark.conf.SparkConf,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""5"",""Line"":""11""},{""CellId"":""5"",""Line"":""15""}]"
b1fb77a9-958a-495d-82c1-be5dfafc0af9,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pyspark.SparkContext,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""5"",""Line"":""14""}]"
b1fb77a9-958a-495d-82c1-be5dfafc0af9,Sample_1. Pipeline Periodically - Usual Environment with Entropy.ipynb,pyspark.sql.DataFrame,ThirdPartyLibraries,True,Supported,{},"[{""CellId"":""5"",""Line"":""16""}]"
