,h3_8,h3_9,zone_id,zone_code,zone_category,h3_population_constrained,n_accomadation,unique_accomadation_category
1389,888c107ab5fffff,898c107ab47ffff,3171070#898c107ab47ffff#z2,z2,hotel_area,1276,1,1
1390,888c107ab1fffff,898c107ab0fffff,3171070#898c107ab0fffff#z2,z2,hotel_area,658,1,1
1391,888c1078c7fffff,898c1078c6bffff,3171070#898c1078c6bffff#z1,z1,housing_area,1286,0,0
1392,888c1078cdfffff,898c1078ccbffff,3171070#898c1078ccbffff#z1,z1,housing_area,142,0,0
1393,888c1078cbfffff,898c1078cb7ffff,3171070#898c1078cb7ffff#z1,z1,housing_area,392,0,0
1394,888c10781bfffff,898c10781a7ffff,3171070#898c10781a7ffff#z1,z1,housing_area,1122,0,0
1395,888c1078c1fffff,898c1078c17ffff,3171070#898c1078c17ffff#z1,z1,housing_area,285,0,0
1396,888c107813fffff,898c1078137ffff,3171070#898c1078137ffff#z1,z1,housing_area,143,0,0
1397,888c107aa7fffff,898c107aa6bffff,3171070#898c107aa6bffff#z1,z1,housing_area,1265,0,0
1398,888c1078ebfffff,898c1078eb7ffff,3171070#898c1078eb7ffff#z1,z1,housing_area,706,0,0
1399,888c107aa7fffff,898c107aa63ffff,3171070#898c107aa63ffff#z1,z1,housing_area,1063,0,0
1400,888c107abdfffff,898c107abcbffff,3171070#898c107abcbffff#z1,z1,housing_area,1195,0,0
1401,888c107ab7fffff,898c107ab6bffff,3171070#898c107ab6bffff#z2,z2,hotel_area,1343,1,1
1402,888c1078c9fffff,898c1078c83ffff,3171070#898c1078c83ffff#z1,z1,housing_area,411,0,0
1403,888c107813fffff,898c1078127ffff,3171070#898c1078127ffff#z1,z1,housing_area,426,0,0
1404,888c1078ebfffff,898c1078ea7ffff,3171070#898c1078ea7ffff#z1,z1,housing_area,862,0,0
1405,888c1078c9fffff,898c1078c97ffff,3171070#898c1078c97ffff#z1,z1,housing_area,273,0,0
1406,888c1078c5fffff,898c1078c5bffff,3171070#898c1078c5bffff#z1,z1,housing_area,708,0,0
1407,888c107aa3fffff,898c107aa27ffff,3171070#898c107aa27ffff#z2,z2,hotel_area,406,1,1
1408,888c107aa5fffff,898c107aa4fffff,3171080#898c107aa4fffff#z2,z2,hotel_area,1114,1,1
1409,888c10781bfffff,898c10781b3ffff,3171080#898c10781b3ffff#z2,z2,hotel_area,282,1,1
1410,888c107aadfffff,898c107aadbffff,3171080#898c107aadbffff#z1,z1,housing_area,1410,0,0
1411,888c10781dfffff,898c10781d7ffff,3171080#898c10781d7ffff#z2,z2,hotel_area,420,3,2
1412,888c10781bfffff,898c10781bbffff,3171080#898c10781bbffff#z2,z2,hotel_area,1126,2,1
1413,888c107857fffff,898c107856bffff,3171080#898c107856bffff#z1,z1,housing_area,833,0,0
1414,888c107857fffff,898c1078573ffff,3171080#898c1078573ffff#z1,z1,housing_area,417,0,0
1415,888c107aa3fffff,898c107aa2fffff,3171080#898c107aa2fffff#z2,z2,hotel_area,138,1,1
1416,888c107aabfffff,898c107aaafffff,3171080#898c107aaafffff#z1,z1,housing_area,681,0,0
1417,888c107aa3fffff,898c107aa2bffff,3171080#898c107aa2bffff#z2,z2,hotel_area,1317,1,1
1418,888c107aa1fffff,898c107aa17ffff,3171080#898c107aa17ffff#z1,z1,housing_area,813,0,0
1419,888c107aa5fffff,898c107aa57ffff,3171080#898c107aa57ffff#z1,z1,housing_area,282,0,0
1420,888c107aa1fffff,898c107aa1bffff,3171080#898c107aa1bffff#z1,z1,housing_area,281,0,0
1421,888c107857fffff,898c107856fffff,3171080#898c107856fffff#z1,z1,housing_area,273,0,0
1422,888c107819fffff,898c1078197ffff,3171080#898c1078197ffff#z2,z2,hotel_area,838,1,1
1423,888c107851fffff,898c107850fffff,3171080#898c107850fffff#z1,z1,housing_area,1070,0,0
1424,888c107aa7fffff,898c107aa7bffff,3171080#898c107aa7bffff#z1,z1,housing_area,1095,0,0
1425,888c107aa5fffff,898c107aa53ffff,3171080#898c107aa53ffff#z1,z1,housing_area,420,0,0
1426,888c107857fffff,898c1078567ffff,3171080#898c1078567ffff#z1,z1,housing_area,960,0,0
1427,888c107853fffff,898c107852fffff,3171080#898c107852fffff#z1,z1,housing_area,415,0,0
1428,888c107819fffff,898c107818bffff,3171080#898c107818bffff#z0,z0,others,0,0,0
1429,888c10785bfffff,898c10785abffff,3171080#898c10785abffff#z1,z1,housing_area,693,0,0
1430,888c107853fffff,898c107853bffff,3171080#898c107853bffff#z1,z1,housing_area,1096,0,0
1431,888c107aa5fffff,898c107aa4bffff,3171080#898c107aa4bffff#z1,z1,housing_area,703,0,0
1432,888c107aa5fffff,898c107aa5bffff,3171080#898c107aa5bffff#z1,z1,housing_area,1500,0,0
1433,888c10781bfffff,898c10781abffff,3171080#898c10781abffff#z1,z1,housing_area,1118,0,0
1434,888c107aa1fffff,898c107aa07ffff,3171080#898c107aa07ffff#z1,z1,housing_area,1311,0,0
1435,888c107aadfffff,898c107aacbffff,3171080#898c107aacbffff#z1,z1,housing_area,665,0,0
1436,888c107aa7fffff,898c107aa73ffff,3171080#898c107aa73ffff#z1,z1,housing_area,966,0,0
1437,888c107857fffff,898c107857bffff,3171080#898c107857bffff#z1,z1,housing_area,960,0,0
1438,888c107853fffff,898c1078537ffff,3171080#898c1078537ffff#z2,z2,hotel_area,544,5,3
1439,888c107855fffff,898c1078557ffff,3171080#898c1078557ffff#z1,z1,housing_area,1206,0,0
1440,888c10785bfffff,898c10785afffff,3171080#898c10785afffff#z1,z1,housing_area,971,0,0
1441,888c107aa3fffff,898c107aa3bffff,3171080#898c107aa3bffff#z1,z1,housing_area,917,0,0
